,0
0,0.11339849266163578
1,0.1257210205078125
2,0.1376606689453125
3,0.1485421630859375
4,0.15788983154296876
5,0.16546033935546875
6,0.1711576171875
7,0.17498883056640624
8,0.177008447265625
9,0.1773300537109375
10,0.175987548828125
11,0.17302625732421875
12,0.1685234375
13,0.162586474609375
14,0.15517684326171874
15,0.1465239501953125
16,0.13675579833984375
17,0.1260834228515625
18,0.1147066162109375
19,0.10277344970703126
20,0.0905357177734375
21,0.07817417602539062
22,0.06574278564453125
23,0.05346114501953125
24,0.041317886352539065
25,0.029407550048828127
26,0.017730966186523436
27,0.006288689422607422
28,-0.004921638870239258
29,-0.015907565307617187
30,-0.02667115478515625
31,-0.03719031677246094
32,-0.04746777954101562
33,-0.05751123046875
34,-0.06717908935546875
35,-0.07647443237304688
36,-0.085294482421875
37,-0.09361827392578125
38,-0.10134650268554687
39,-0.1083681396484375
40,-0.114665283203125
41,-0.1201384765625
42,-0.1247927001953125
43,-0.12840833740234375
44,-0.1310962890625
45,-0.13284501953125
46,-0.133619775390625
47,-0.1332361572265625
48,-0.1319782470703125
49,-0.12971436767578126
50,-0.12657652587890625
51,-0.122496630859375
52,-0.1177582275390625
53,-0.11206595458984375
54,-0.10576378173828126
55,-0.09881310424804687
56,-0.09142295532226563
57,-0.0834546875
58,-0.07502576904296875
59,-0.06632886352539062
60,-0.0573323486328125
61,-0.048041546630859376
62,-0.03861822814941406
63,-0.0291150390625
64,-0.01959180908203125
65,-0.0100410400390625
66,-0.0005532740592956543
67,0.008819365692138672
68,0.01801731719970703
69,0.027014688110351563
70,0.0357160400390625
71,0.04404240112304687
72,0.052096551513671874
73,0.05960159301757813
74,0.06671456909179688
75,0.07331411743164062
76,0.07931400146484376
77,0.08476213989257812
78,0.08950526123046874
79,0.09358005981445312
80,0.09702428588867187
81,0.09983765258789062
82,0.10168560791015625
83,0.10307869873046875
84,0.103731298828125
85,0.103602685546875
86,0.10255400390625
87,0.10109930419921875
88,0.0987866943359375
89,0.09596785888671874
90,0.09252285766601563
91,0.0884807861328125
92,0.08387542114257812
93,0.07875696411132813
94,0.07323984985351563
95,0.0673024658203125
96,0.0608802001953125
97,0.05413394775390625
98,0.047251434326171876
99,0.0400570556640625
100,0.03275591735839844
101,0.025281590270996093
102,0.01774842529296875
103,0.01016731719970703
104,0.002645537567138672
105,-0.00481221809387207
106,-0.012144293975830079
107,-0.019302876281738282
108,-0.026223345947265626
109,-0.032907449340820315
110,-0.03923093566894531
111,-0.04529984436035156
112,-0.05098748168945313
113,-0.05619083862304688
114,-0.061053271484375
115,-0.0652860595703125
116,-0.06909873657226563
117,-0.0724109375
118,-0.07527396850585938
119,-0.07739510498046875
120,-0.07913086547851562
121,-0.08021214599609375
122,-0.08082384643554688
123,-0.0810168701171875
124,-0.08020809326171875
125,-0.07955162353515625
126,-0.077550634765625
127,-0.07574130249023438
128,-0.07293313598632813
129,-0.07013234252929687
130,-0.0665480224609375
131,-0.06273453979492187
132,-0.0586194091796875
133,-0.053836163330078124
134,-0.04899962768554687
135,-0.04396018371582031
136,-0.03852109069824219
137,-0.032914944458007814
138,-0.027274200439453125
139,-0.021395341491699218
140,-0.015541769409179687
141,-0.009624111938476563
142,-0.003696522903442383
143,0.0021676172256469726
144,0.007945370483398438
145,0.013589942932128906
146,0.019026084899902342
147,0.024372506713867186
148,0.029391806030273436
149,0.034161376953125
150,0.03871287841796875
151,0.042970095825195315
152,0.04669959716796875
153,0.0501577880859375
154,0.05332879028320312
155,0.05609039306640625
156,0.0582366943359375
157,0.06018516235351563
158,0.06143543090820312
159,0.06259698486328125
160,0.06310376586914063
161,0.06329863891601563
162,0.06300098266601563
163,0.06228001098632813
164,0.061092578125
165,0.059578466796875
166,0.05768152465820312
167,0.05546468505859375
168,0.052930633544921876
169,0.04990043640136719
170,0.0468173095703125
171,0.043163430786132814
172,0.0393526123046875
173,0.035467425537109375
174,0.031359710693359376
175,0.026992532348632813
176,0.022556034851074217
177,0.018019050598144532
178,0.01340019989013672
179,0.008778718566894531
180,0.004168121337890625
181,-0.00043803539276123047
182,-0.004974227142333984
183,-0.009396810913085937
184,-0.013788275146484376
185,-0.017912550354003905
