,0
0,0.2232474957813596
1,0.2138072509765625
2,0.20259718017578124
3,0.189788916015625
4,0.17573489990234376
5,0.160823974609375
6,0.14541094970703125
7,0.12979864501953126
8,0.11424171142578125
9,0.09894420166015624
10,0.084076904296875
11,0.06977486572265625
12,0.05615316162109375
13,0.043300213623046875
14,0.03128865966796875
15,0.020173426818847658
16,0.009991262054443359
17,0.0007669532775878906
18,-0.0074902053833007815
19,-0.01478267822265625
20,-0.021123924255371095
21,-0.02653691711425781
22,-0.031054766845703127
23,-0.03471728515625
24,-0.03757101135253906
25,-0.039664166259765626
26,-0.04105411987304688
27,-0.04179557495117187
28,-0.04195279541015625
29,-0.04158082275390625
30,-0.04074349365234375
31,-0.03949565124511719
32,-0.037902560424804686
33,-0.03601407470703125
34,-0.03389052734375
35,-0.03157589111328125
36,-0.02912216796875
37,-0.026574847412109377
38,-0.023972720336914062
39,-0.021353617858886717
40,-0.018752294921875
41,-0.016196795654296874
42,-0.013714970397949219
43,-0.011329002380371093
44,-0.009057108306884765
45,-0.006915531921386719
46,-0.00491602668762207
47,-0.003068273735046387
48,-0.0013786857604980469
49,0.0001491013526916504
50,0.0015134910583496093
51,0.002715028762817383
52,0.003756705093383789
53,0.004642323684692383
54,0.005377749633789062
55,0.005969900512695313
56,0.006426884460449219
57,0.00675718765258789
58,0.006970350646972656
59,0.007076332092285156
60,0.007085087585449219
61,0.007006024932861328
62,0.006850128936767578
63,0.00662783203125
64,0.006348016357421875
65,0.006020663833618164
66,0.005654673767089844
67,0.005258439254760742
68,0.004840825271606446
69,0.004407376861572266
70,0.003966912841796875
71,0.003524395751953125
72,0.0030856800079345705
73,0.0026562984466552736
74,0.002239528465270996
75,0.0018397415161132812
76,0.0014597368240356445
77,0.0011022245407104492
78,0.0007691040992736817
79,0.00046184720993041993
80,0.00018147778511047363
81,-7.14555025100708e-05
82,-0.00029675674438476565
83,-0.0004946225643157959
84,-0.000665570878982544
85,-0.0008102653503417969
86,-0.0009298561096191407
87,-0.0010254278182983399
88,-0.0010984503746032715
89,-0.0011503551483154296
90,-0.0011828492164611816
91,-0.0011974278450012207
92,-0.0011957902908325195
93,-0.0011799992561340332
94,-0.001151347541809082
95,-0.0011117234230041504
96,-0.0010629876136779785
97,-0.0010061965942382812
98,-0.0009433242797851562
99,-0.0008754580497741699
100,-0.0008042438507080078
101,-0.0007307362556457519
102,-0.0006560586929321289
103,-0.0005813848972320557
104,-0.0005075057029724122
105,-0.0004352189064025879
106,-0.000365313720703125
107,-0.00029835968017578125
108,-0.00023483083248138428
109,-0.00017518608570098876
110,-0.00011971416473388671
111,-6.862928867340088e-05
112,-2.2128213942050933e-05
113,1.9724124670028688e-05
114,5.6908470392227175e-05
115,8.946813344955444e-05
116,0.00011750648021697997
117,0.00014112839698791503
118,0.00016056488752365112
119,0.0001759601354598999
120,0.00018761932849884033
121,0.00019574418067932128
122,0.00020058908462524414
123,0.00020252223014831543
124,0.0002017622470855713
125,0.00019866821765899658
126,0.0001934428334236145
127,0.00018644744157791137
128,0.00017788769006729126
129,0.00016811394691467285
130,0.00015726882219314575
131,0.00014569323062896727
132,0.00013355551958084107
133,0.00012109794616699219
134,0.00010845389366149902
135,9.584821462631225e-05
136,8.341661691665649e-05
137,7.125439047813415e-05
138,5.951870083808899e-05
139,4.832469522953034e-05
140,3.77198189496994e-05
141,2.776721715927124e-05
142,1.852963864803314e-05
143,1.0046905279159546e-05
144,2.3226916790008544e-06
145,-4.5957144349813465e-06
146,-1.0733558237552643e-05
147,-1.608910858631134e-05
148,-2.0673409104347228e-05
149,-2.453783452510834e-05
150,-2.769485414028168e-05
151,-3.0166721343994142e-05
152,-3.2016521692276e-05
153,-3.327244222164154e-05
154,-3.400421142578125e-05
155,-3.423604071140289e-05
156,-3.403373956680298e-05
157,-3.342585861682892e-05
158,-3.248467445373535e-05
159,-3.1254476308822634e-05
160,-2.9771918058395384e-05
161,-2.8064823150634766e-05
162,-2.622007429599762e-05
163,-2.4238988757133485e-05
164,-2.217155992984772e-05
165,-2.006427198648453e-05
166,-1.7918404936790466e-05
167,-1.579608619213104e-05
168,-1.3693314790725709e-05
169,-1.1654768139123916e-05
170,-9.690359234809875e-06
171,-7.824212312698364e-06
172,-6.050427630543709e-06
173,-4.383948445320129e-06
174,-2.844790369272232e-06
175,-1.4409847557544708e-06
176,-1.6334531828761102e-07
177,9.880711324512958e-07
178,2.0010657608509065e-06
179,2.875283360481262e-06
180,3.6216050386428832e-06
181,4.258009791374207e-06
182,4.768510907888412e-06
183,5.173012986779213e-06
184,5.464895442128182e-06
185,5.654121935367585e-06
